timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:10:16.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.858 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:17.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.858 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:18.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.827 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:19.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:20.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:21.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:22.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:23.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.848 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:24.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.858 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:25.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.848 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:26.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:27.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.837 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:28.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.827 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:29.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.848 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:30.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.827 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:31.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.805 W,[N/A],190.8 MHz,429.3 MHz
2026/07/04 19:10:32.511,48.76,0.0 %,0.0 %,2.12 MiB,8640.06 MiB,3.816 W,[N/A],190.8 MHz,429.3 MHz
