timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:10:19.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.895 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:20.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.895 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:21.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.863 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:22.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:23.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:24.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:25.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:26.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.884 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:27.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.895 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:28.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.884 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:29.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:30.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.873 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:31.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.863 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:32.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.884 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:33.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.863 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:34.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.841 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:35.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.852 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:36.511,49.22,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.841 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:37.511,48.15,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.809 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:38.511,48.15,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.831 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:39.511,48.15,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.852 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:40.511,48.15,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.852 W,[N/A],192.6 MHz,433.35 MHz
2026/07/04 19:10:41.511,48.15,0.0 %,0.0 %,2.14 MiB,8721.57 MiB,3.852 W,[N/A],192.6 MHz,433.35 MHz
