timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:09:59.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.822 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:00.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.822 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:01.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.79 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:02.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:03.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:04.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:05.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:06.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.812 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:07.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.822 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:08.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.812 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:09.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:10.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.801 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:11.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.79 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:12.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.812 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:13.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.79 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:14.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.77 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:15.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:16.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.77 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:17.511,47.25,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.738 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:18.511,47.25,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.759 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:19.511,47.25,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:20.511,47.25,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:21.511,47.25,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:22.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:23.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.78 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:24.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.77 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:25.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.77 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:26.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.79 W,[N/A],189.0 MHz,425.25 MHz
2026/07/04 19:10:27.511,48.3,0.0 %,0.0 %,2.1 MiB,8558.55 MiB,3.79 W,[N/A],189.0 MHz,425.25 MHz
