timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:09:50.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.713 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:51.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.713 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:52.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.682 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:53.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:54.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:55.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:56.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:57.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.703 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:58.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.713 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:09:59.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.703 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:00.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:01.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.692 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:02.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.682 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:03.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.703 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:04.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.682 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:05.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.662 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:06.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.672 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:07.511,46.92,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.662 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:08.511,45.9,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.631 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:09.511,45.9,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.652 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:10.511,45.9,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.672 W,[N/A],183.6 MHz,413.1 MHz
2026/07/04 19:10:11.511,45.9,0.0 %,0.0 %,2.04 MiB,8314.02 MiB,3.672 W,[N/A],183.6 MHz,413.1 MHz
