timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:09:56.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.786 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:09:57.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.786 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:09:58.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.754 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:09:59.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:00.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:01.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:02.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:03.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.775 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:04.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.786 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:05.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.775 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:06.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:07.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.765 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:08.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.754 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:09.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.775 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:10.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.754 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:11.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.734 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:12.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.744 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:13.511,47.84,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.734 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:14.511,46.8,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.702 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:15.511,46.8,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.723 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:16.511,46.8,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.744 W,[N/A],187.2 MHz,421.2 MHz
2026/07/04 19:10:17.511,46.8,0.0 %,0.0 %,2.08 MiB,8477.04 MiB,3.744 W,[N/A],187.2 MHz,421.2 MHz
