timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:09:33.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.676 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:34.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.676 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:35.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:36.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:37.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:38.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:39.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:40.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.666 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:41.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.676 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:42.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.666 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:43.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:44.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:45.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:46.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.666 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:47.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:48.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.626 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:49.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:50.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.626 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:51.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.596 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:52.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.616 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:53.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:54.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:55.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:56.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:57.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:58.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.626 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:09:59.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.626 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:00.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:01.511,46.46,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:02.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.656 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:03.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:04.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:05.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:06.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:07.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:08.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:09.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:10.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.646 W,[N/A],181.8 MHz,409.05 MHz
2026/07/04 19:10:11.511,45.45,0.0 %,0.0 %,2.02 MiB,8232.51 MiB,3.636 W,[N/A],181.8 MHz,409.05 MHz
